ee_x,ee_y,ee_z,distance,delta_6axis,delta_3axis,joint0_delta,joint1_delta,joint2_delta,joint3_delta,joint4_delta,joint5_delta
0.27382633090019226,-0.009901832789182663,0.655279815196991,1.4158917008836378,7.860902564102565,7.860902564102565,3.1416,2.0700076923076924,2.6492948717948717,0.0,0.0,0.0
0.17650249600410461,-0.009901057928800583,0.5811572670936584,1.4738830362005506,8.004107692307693,8.004107692307693,3.1416,2.0700076923076924,2.7925,0.0,0.0,0.0
-0.07196866720914841,-0.009899774566292763,0.05781279504299164,1.9878889171991336,7.892215384615385,7.892215384615385,3.1416,1.9581153846153847,2.7925,0.0,0.0,0.0
-0.06788630038499832,-0.009899767115712166,-0.06445474922657013,2.1099399379074013,7.749010256410257,7.749010256410257,3.1416,1.9581153846153847,2.6492948717948717,0.0,0.0,0.0
-0.04639618098735809,-0.00989990122616291,-0.18488824367523193,2.2297587709656055,7.605805128205128,7.605805128205128,3.1416,1.9581153846153847,2.506089743589744,0.0,0.0,0.0
-0.007938213646411896,-0.009900251403450966,-0.301021933555603,2.345418783892302,7.4626,7.4626,3.1416,1.9581153846153847,2.3628846153846155,0.0,0.0,0.0
0.046699948608875275,-0.009900601580739021,-0.41047781705856323,2.455301656906646,7.319394871794872,7.319394871794872,3.1416,1.9581153846153847,2.219679487179487,0.0,0.0,0.0
0.11640030890703201,-0.009901033714413643,-0.5110160112380981,2.5580422350141396,7.1761897435897435,7.1761897435897435,3.1416,1.9581153846153847,2.076474358974359,0.0,0.0,0.0
0.1997356414794922,-0.009901607409119606,-0.600577712059021,2.6524825122328535,7.032984615384615,7.032984615384615,3.1416,1.9581153846153847,1.9332692307692307,0.0,0.0,0.0
0.2949996888637543,-0.009902218356728554,-0.6773292422294617,2.737641593505741,6.889779487179487,6.889779487179487,3.1416,1.9581153846153847,1.7900641025641026,0.0,0.0,0.0
0.4002423584461212,-0.00990297831594944,-0.7396994829177856,2.8126922902109377,6.7465743589743585,6.7465743589743585,3.1416,1.9581153846153847,1.6468589743589743,0.0,0.0,0.0
0.513309121131897,-0.009903931990265846,-0.7864113450050354,2.876943471416033,6.60336923076923,6.60336923076923,3.1416,1.9581153846153847,1.503653846153846,0.0,0.0,0.0
0.631884753704071,-0.009904617443680763,-0.8165086507797241,2.92982851799663,6.460164102564103,6.460164102564103,3.1416,1.9581153846153847,1.360448717948718,0.0,0.0,0.0
0.7535423040390015,-0.009905451908707619,-0.829375147819519,2.970896402677865,6.3169589743589745,6.3169589743589745,3.1416,1.9581153846153847,1.2172435897435898,0.0,0.0,0.0
0.8757902979850769,-0.009906234219670296,-0.8247475624084473,2.999805502086318,6.173753846153846,6.173753846153846,3.1416,1.9581153846153847,1.0740384615384615,0.0,0.0,0.0
0.9961264729499817,-0.009906934574246407,-0.8027206659317017,3.0163197821395977,6.030548717948718,6.030548717948718,3.1416,1.9581153846153847,0.9308333333333332,0.0,0.0,0.0
1.1120874881744385,-0.009907754138112068,-0.7637450695037842,3.020305618762131,5.88734358974359,5.88734358974359,3.1416,1.9581153846153847,0.7876282051282053,0.0,0.0,0.0
1.2212989330291748,-0.009908588603138924,-0.7086189985275269,3.0117311262557975,5.744138461538462,5.744138461538462,3.1416,1.9581153846153847,0.644423076923077,0.0,0.0,0.0
1.3215252161026,-0.009909207001328468,-0.6384709477424622,2.9906653246453008,5.600933333333334,5.600933333333334,3.1416,1.9581153846153847,0.5012179487179487,0.0,0.0,0.0
1.4107145071029663,-0.00990963913500309,-0.5547370314598083,2.9572790022252753,5.4577282051282054,5.4577282051282054,3.1416,1.9581153846153847,0.35801282051282035,0.0,0.0,0.0
1.487040400505066,-0.009910384193062782,-0.4591314196586609,2.9118461834999723,5.314523076923077,5.314523076923077,3.1416,1.9581153846153847,0.21480769230769203,0.0,0.0,0.0
1.5489403009414673,-0.00991068221628666,-0.35361188650131226,2.8547482597808815,5.171317948717949,5.171317948717949,3.1416,1.9581153846153847,0.07160256410256416,0.0,0.0,0.0
1.5951474905014038,-0.009910838678479195,-0.24033819139003754,2.786477585480608,5.171317948717949,5.171317948717949,3.1416,1.9581153846153847,0.07160256410256416,0.0,0.0,0.0
1.6247155666351318,-0.009911099448800087,-0.12162979692220688,2.7076452369469464,5.314523076923077,5.314523076923077,3.1416,1.9581153846153847,0.21480769230769248,0.0,0.0,0.0
1.6370395421981812,-0.00991109199821949,8.386513218283653e-05,2.6189899325169237,5.4577282051282054,5.4577282051282054,3.1416,1.9581153846153847,0.35801282051282035,0.0,0.0,0.0
1.6318665742874146,-0.009911159053444862,0.12231037020683289,2.5213930470617467,5.600933333333334,5.600933333333334,3.1416,1.9581153846153847,0.5012179487179487,0.0,0.0,0.0
1.6093032360076904,-0.009910823777318,0.2425473928451538,2.4158972772772023,5.744138461538462,5.744138461538462,3.1416,1.9581153846153847,0.644423076923077,0.0,0.0,0.0
1.5698106288909912,-0.009910749271512032,0.3583333492279053,2.303731608113234,5.88734358974359,5.88734358974359,3.1416,1.9581153846153847,0.7876282051282053,0.0,0.0,0.0
1.5141983032226562,-0.009910175576806068,0.46729791164398193,2.1863491301067843,6.030548717948719,6.030548717948719,3.1416,1.9581153846153847,0.9308333333333336,0.0,0.0,0.0
