uoc,state,action,next_state,reward
7,"0.096497275,0.4618467,0.8810581,0.24403936,0.08240103,-0.35252324,0.22339182,0.0705848,-0.35214671","-0.03835267,0.08794701,0.095142126","0.09283487,0.473939,0.8912793,0.22682703,0.07414058,-0.35431004,0.22339182,0.0705848,-0.35214671",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,0.09380117,-0.15415204,-0.40556052","-0.8681838,0.91784024,0.963562","-0.08290524,0.1261983,0.10351607,0.38975462,-0.09788184,0.88595283,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.08290524,0.1261983,0.10351607,0.38975462,-0.09788184,0.88595283,0.09380117,-0.15415204,-0.40556052","-0.8568117,0.9351888,0.96846485","-0.16472454,0.254782,0.20755887,0.62350106,-0.34826306,0.5869967,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.16472454,0.254782,0.20755887,0.62350106,-0.34826306,0.5869967,0.09380117,-0.15415204,-0.40556052","-0.6116011,0.8197968,0.93254685","-0.223128,0.36749983,0.30774295,0.6556643,-0.54578066,0.21571888,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.223128,0.36749983,0.30774295,0.6556643,-0.54578066,0.21571888,0.09380117,-0.15415204,-0.40556052","-0.37221473,0.83873105,0.9213691","-0.25867182,0.48282105,0.4067262,0.57962495,-0.60368145,-0.16883025,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.25867182,0.48282105,0.4067262,0.57962495,-0.60368145,-0.16883025,0.09380117,-0.15415204,-0.40556052","-0.5077717,0.7975733,0.9297769","-0.30716032,0.59248334,0.50661266,0.39510116,-0.56019634,-0.47345045,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.30716032,0.59248334,0.50661266,0.39510116,-0.56019634,-0.47345045,0.09380117,-0.15415204,-0.40556052","-0.38162845,0.35376775,0.96034026","-0.34360304,0.64112467,0.6097826,0.24422072,-0.44412905,-0.5819868,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.34360304,0.64112467,0.6097826,0.24422072,-0.44412905,-0.5819868,0.09380117,-0.15415204,-0.40556052","0.034063935,-0.049478352,0.97283196","-0.34035018,0.6343217,0.7142945,0.1820619,-0.3199938,-0.5587249,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.34035018,0.6343217,0.7142945,0.1820619,-0.3199938,-0.5587249,0.09380117,-0.15415204,-0.40556052","0.057041287,-0.1849373,0.95028377","-0.33490315,0.6088938,0.8163841,0.13131303,-0.2183756,-0.4846397,0.09380117,-0.15415204,-0.40556052",0.0
7,"-0.33490315,0.6088938,0.8163841,0.13131303,-0.2183756,-0.4846397,0.09380117,-0.15415204,-0.40556052","0.04072523,-0.16143942,0.66273046","-0.33101422,0.5866968,0.8875816,0.09819561,-0.15581952,-0.41551438,0.09380117,-0.15415204,-0.40556052",0.0
7,"0.0,0.0,0.0,2.8652207e-07,0.005789075,0.993462,-0.036140352,-0.06590643,-0.29193363","0.9835422,-0.95105386,-0.9330765","0.09392113,-0.13076502,-0.100241,-0.39099178,-0.11278526,0.88418496,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.09392113,-0.13076502,-0.100241,-0.39099178,-0.11278526,0.88418496,-0.036140352,-0.06590643,-0.29193363","0.8498024,-0.3662529,-0.95478976","0.17507109,-0.18112291,-0.20281468,-0.5147793,-0.30882573,0.711776,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.17507109,-0.18112291,-0.20281468,-0.5147793,-0.30882573,0.711776,-0.036140352,-0.06590643,-0.29193363","0.6894827,-0.25871623,-0.9613438","0.24091169,-0.21669509,-0.30609247,-0.52037555,-0.483516,0.50849676,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.24091169,-0.21669509,-0.30609247,-0.52037555,-0.483516,0.50849676,-0.036140352,-0.06590643,-0.29193363","0.60032797,-0.57355905,-0.9592323","0.29823866,-0.29555652,-0.4091434,-0.46978903,-0.6293692,0.20339933,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.29823866,-0.29555652,-0.4091434,-0.46978903,-0.6293692,0.20339933,-0.036140352,-0.06590643,-0.29193363","0.42661,-0.779184,-0.9589633","0.33897683,-0.40269032,-0.5121654,-0.3686435,-0.65354025,-0.14150052,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.33897683,-0.40269032,-0.5121654,-0.3686435,-0.65354025,-0.14150052,-0.036140352,-0.06590643,-0.29193363","-0.15584427,-0.8192158,-0.93655735","0.32409483,-0.51532835,-0.61278033,-0.31796658,-0.5045506,-0.4124735,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.32409483,-0.51532835,-0.61278033,-0.31796658,-0.5045506,-0.4124735,-0.036140352,-0.06590643,-0.29193363","0.5364342,-0.7370765,-0.9516799","0.3753204,-0.61667264,-0.7150199,-0.15119065,-0.35088527,-0.5423294,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.3753204,-0.61667264,-0.7150199,-0.15119065,-0.35088527,-0.5423294,-0.036140352,-0.06590643,-0.29193363","0.22648656,-0.39910555,-0.9651148","0.39694822,-0.67154765,-0.81870276,-0.070708,-0.19252369,-0.51796734,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.39694822,-0.67154765,-0.81870276,-0.070708,-0.19252369,-0.51796734,-0.036140352,-0.06590643,-0.29193363","-0.1591075,0.31268668,-0.9065434","0.3817546,-0.6285549,-0.9160933,-0.052539397,-0.11891832,-0.40277275,-0.036140352,-0.06590643,-0.29193363",0.0
7,"0.3817546,-0.6285549,-0.9160933,-0.052539397,-0.11891832,-0.40277275,-0.036140352,-0.06590643,-0.29193363","-0.33641982,0.39823472,-0.6708329","0.34962898,-0.57379967,-0.9881613,-0.04480747,-0.074964024,-0.30532226,-0.036140352,-0.06590643,-0.29193363",0.0
